Shape,Color,Clarity,Carat Weight,Length_Width_Ratio,Depth,Table,Polish,Symmetry,Girdle,Culet,Length,Width,Height,Type,Price
Cushion Modified,D,VVS2,2.95,1.03,65.9,63,Excellent,Excellent,Slightly Thick to Thick,None,8.48,8.2,5.4,GIA Lab-Grown,6050
Radiant,F,VS1,1.13,1.42,67.6,66,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.27,5.13,3.47,IGI Lab-Grown,1160
Oval,E,VS2,1.01,1.3,64.9,60,Excellent,Excellent,Slightly Thick to Very Thick,None,7.38,5.66,3.67,GIA,3460
Marquise,G,VVS2,1.01,1.98,67.4,60,Good,Good,Very Thick to Extremely Thick,Very Small,9.85,4.97,3.35,GIA,6140
Marquise,D,VS1,1.08,2.02,62,58,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.77,5.34,3.31,IGI Lab-Grown,1250
Oval,E,VS2,1.01,1.4,65.7,55,Excellent,Excellent,Thick to Very Thick,None,7.68,5.48,3.6,GIA,3780
Round,D,VS1,1.51,1.01,61.6,58,Excellent,Excellent,Slightly Thick,None,7.32,7.37,4.52,GIA Lab-Grown,1770
Heart,D,VVS1,1.01,1.19,61.9,56,Excellent,Very Good,Medium to Thick,None,5.84,6.93,4.29,GIA,5140
Round,D,VS1,1.58,1,61.5,57,Excellent,Excellent,Medium,Pointed,7.46,7.48,4.59,IGI Lab-Grown,1850
Round,E,VS1,1.53,1.01,61.4,57.5,Excellent,Excellent,Medium,Pointed,7.36,7.42,4.54,IGI Lab-Grown,1740
Marquise,D,VVS2,1.03,1.91,62.4,57,Excellent,Very Good,Medium to Thick,None,10.31,5.39,3.36,GIA Lab-Grown,1250
Princess,H,VVS2,1.01,1.01,70.8,73,Excellent,Excellent,Medium to Slightly Thick,None,5.58,5.55,3.93,GIA,3080
Heart,D,VS2,1,1.19,60,61,Excellent,Very Good,Slightly Thick to Very Thick,None,5.82,6.93,4.16,GIA,3800
Heart,E,VS1,1,1.08,60,57,Excellent,Very Good,Medium to Very Thick,None,6.29,6.81,4.09,GIA,4600
Marquise,D,VVS2,1.22,1.94,61.3,61,Excellent,Excellent,Thin to Thick,None,11.15,5.75,3.52,GIA,11040
Round,D,VS1,1.57,1,61.9,59,Excellent,Excellent,Medium to Slightly Thick,None,7.4,7.43,4.59,GIA Lab-Grown,1840
Radiant,D,VS1,1.01,1.3,67.6,66,Excellent,Excellent,Slightly Thick to Thick,None,6.69,5.14,3.48,GIA,4380
Pear,F,VVS2,1.01,1.64,62.7,61,Excellent,Excellent,Slightly Thick to Thick,None,9.07,5.53,3.47,GIA,4750
Princess,E,VVS2,1.01,1.01,70.8,68,Excellent,Excellent,Slightly Thick,None,5.58,5.51,3.9,GIA Lab-Grown,1180
Heart,D,IF,1.34,1.08,59.3,61,Excellent,Very Good,Slightly Thick to Very Thick,None,6.83,7.41,4.4,GIA Lab-Grown,3830
Heart,D,VS2,1.46,1.13,55.4,59,Excellent,Excellent,Slightly Thick to Very Thick,None,6.97,7.85,4.35,GIA,10470
Marquise,D,VS1,1.07,2.03,62.7,58,Excellent,Excellent,Thin to Medium,Pointed,10.83,5.34,3.35,IGI Lab-Grown,1170
Round,E,VS1,1.57,1,60.9,58,Excellent,Excellent,Medium to Slightly Thick,None,7.47,7.5,4.56,GIA Lab-Grown,1790
Round,E,VS1,1.58,1,61,58,Excellent,Excellent,Medium,Pointed,7.51,7.54,4.59,IGI Lab-Grown,1840
Pear,E,VS1,1.03,1.56,62.1,59,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.84,5.65,3.51,IGI Lab-Grown,1040
Cushion Modified,D,VS1,1.52,1.01,65.1,61,Excellent,Excellent,Medium to Thick,None,6.9,6.81,4.43,GIA Lab-Grown,2070
Pear,E,VS1,1.12,1.56,61.8,57,Excellent,Excellent,Medium to Slightly Thick,Pointed,9.13,5.84,3.61,IGI Lab-Grown,1120
Radiant,F,VVS2,1.03,1.4,69.5,65,Excellent,Excellent,Medium,None,7.13,5.11,3.55,GIA,4850
Princess,E,VVS2,1.03,1.02,70.3,69,Excellent,Excellent,Medium,Pointed,5.52,5.42,3.81,IGI Lab-Grown,1200
Oval,F,VS1,1.06,1.41,62,61,Excellent,Excellent,Medium to Slightly Thick,None,8.21,5.81,3.6,IGI Lab-Grown,1060
Oval,E,VS2,1.01,1.42,64.7,58,Excellent,Excellent,Thick,None,7.81,5.51,3.57,GIA,4730
Pear,F,VS1,1,1.45,65.9,63,Excellent,Very Good,Slightly Thick to Very Thick,None,8.01,5.53,3.65,GIA,4490
Radiant,E,VVS2,1.02,1.41,69.2,66,Excellent,Excellent,Thin,Pointed,7.23,5.13,3.55,IGI Lab-Grown,1180
Cushion Modified,D,VS1,1.54,1.03,69,63,Excellent,Excellent,Thick to Very Thick,None,6.82,6.61,4.56,GIA Lab-Grown,2100
Radiant,F,VS1,1,1.43,68,65,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.01,4.91,3.34,IGI Lab-Grown,1040
Round,E,VS1,1.59,1.01,61,58,Excellent,Excellent,Medium,Pointed,7.5,7.54,4.59,IGI Lab-Grown,1850
Oval,H,VS2,1.12,1.41,62.4,60,Excellent,Excellent,Slightly Thick to Thick,None,8.24,5.83,3.64,GIA,1850
Oval,H,VS1,1,1.39,66.5,60,Excellent,Very Good,Slightly Thick to Very Thick,None,7.61,5.48,3.65,GIA,1850
Radiant,E,VVS2,1.06,1.46,66.3,68,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.25,4.98,3.3,IGI Lab-Grown,1220
Round,H,VVS2,1,1.01,60.9,61,Excellent,Excellent,Medium to Slightly Thick,None,6.39,6.43,3.9,GIA,1220
Heart,D,VS2,1.29,1.08,62.3,56,Excellent,Excellent,Medium to Very Thick,None,6.53,7.03,4.38,GIA,7680
Oval,F,VS1,1.01,1.41,65.4,59,Excellent,Very Good,Thick to Very Thick,None,7.62,5.4,3.53,GIA,4430
Marquise,F,VS1,1,1.8,64,59,Excellent,Excellent,Slightly Thick to Thick,None,9.61,5.34,3.42,GIA,6050
Pear,D,VVS1,1.01,1.57,62.9,59,Excellent,Very Good,Medium to Thick,None,8.76,5.58,3.51,GIA,6050
Heart,D,VVS2,2.1,1.1,58.3,58,Excellent,Excellent,Medium to Thick,None,8.08,8.88,5.17,GIA Lab-Grown,4560
Radiant,E,VS1,1.08,1.48,67.3,63,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.4,5.01,3.37,IGI Lab-Grown,1070
Oval,D,VS1,1,1.36,63.4,61,Excellent,Very Good,Slightly Thick to Thick,None,7.7,5.67,3.6,GIA,5080
Radiant,D,VS2,1.01,1.32,65.2,67,Excellent,Very Good,Thick,None,6.66,5.06,3.3,GIA,4550
Princess,D,VS1,1.03,1.03,72.3,67,Excellent,Excellent,Slightly Thick,None,5.66,5.51,3.99,GIA Lab-Grown,1110
Marquise,E,VS1,1.15,1.86,62.5,59,Excellent,Excellent,Slightly Thick to Thick,None,10.33,5.56,3.48,GIA,7380
Cushion Modified,H,VS2,1.01,1,68.6,59,Excellent,Very Good,Slightly Thick to Very Thick,None,5.57,5.56,3.82,GIA,2210
Pear,G,VS2,1.01,1.8,56.8,68,Excellent,Excellent,Slightly Thick to Thick,None,9.45,5.25,2.98,GIA,3530
Marquise,D,IF,1.02,1.96,62.2,59,Very Good,Good,Thin to Very Thick,None,10.32,5.26,3.28,GIA,6920
Cushion Modified,H,VS1,1,1.08,68.8,60,Excellent,Excellent,Medium to Very Thick,None,5.98,5.53,3.8,GIA,6920
Marquise,D,VVS2,1.1,2.03,61.6,59,Excellent,Excellent,Medium to Slightly Thick,Pointed,11,5.41,3.33,IGI Lab-Grown,1410
Oval,F,VS1,1.07,1.49,61.6,62,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.47,5.7,3.51,IGI Lab-Grown,1070
Round,D,VS1,1.53,1,61.8,57,Excellent,Excellent,Medium to Slightly Thick,None,7.37,7.4,4.56,GIA Lab-Grown,1790
Princess,E,VVS2,1.03,1.01,73.7,69,Excellent,Excellent,Medium,Pointed,5.47,5.43,4,IGI Lab-Grown,1200
Princess,G,VS1,1,1,72.5,70,Excellent,Excellent,Medium to Slightly Thick,None,5.53,5.52,4,GIA,3210
Radiant,E,VVS1,1.01,1.32,68.8,65,Excellent,Excellent,Slightly Thick to Thick,None,6.78,5.13,3.53,GIA,4870
Pear,E,VS1,1.03,1.6,60.9,59,Excellent,Excellent,Medium to Thick,None,9.13,5.7,3.47,GIA Lab-Grown,1040
Princess,G,VVS1,1.02,1.01,71.5,74,Excellent,Very Good,Medium to Slightly Thick,None,5.71,5.67,4.05,GIA,3580
Radiant,D,VS2,1,1.3,67.9,68,Excellent,Excellent,Very Thin to Very Thick,None,6.63,5.1,3.46,GIA,4990
Princess,F,VS2,1.02,1.02,76.6,75,Excellent,Excellent,Very Thick,None,5.45,5.34,4.09,GIA,3020
Heart,D,VS1,1.01,1.15,57.9,58,Excellent,Excellent,Slightly Thick to Very Thick,None,6.11,7.03,4.07,GIA,6390
Oval,E,VS1,1.06,1.48,62.6,59,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.39,5.67,3.55,IGI Lab-Grown,1030
Pear,F,VS1,1.09,1.53,61.5,61,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.95,5.84,3.59,IGI Lab-Grown,1080
Heart,D,VS2,1.51,1.25,59.7,62,Excellent,Very Good,Thick to Very Thick,None,6.39,7.97,4.76,GIA,9950
Marquise,E,VS2,1.5,2.09,55.7,60,Excellent,Excellent,Thick to Very Thick,None,12.56,6.01,3.35,GIA,12610
Round,H,VS2,1,1,59.9,61,Excellent,Excellent,Medium to Slightly Thick,None,6.46,6.49,3.88,GIA,3970
Radiant,H,IF,1,1.31,67.9,67,Excellent,Excellent,Thick to Very Thick,None,6.48,4.95,3.36,GIA,3800
Heart,F,VS1,1.74,1.13,55.8,64,Excellent,Excellent,Thin to Slightly Thick,Pointed,7.5,8.51,4.75,IGI Lab-Grown,2370
Oval,F,VS2,1.07,1.54,61.7,59,Excellent,Very Good,Slightly Thick to Thick,None,8.58,5.56,3.43,GIA,5030
Pear,D,VS1,1.03,1.6,60.4,60,Excellent,Excellent,Slightly Thick to Thick,Pointed,9.03,5.65,3.41,IGI Lab-Grown,1120
Marquise,D,VS2,1.01,1.86,63.4,56,Excellent,Excellent,Slightly Thick to Very Thick,None,9.9,5.31,3.37,GIA,5270
Round,E,VS1,1.59,1,61.2,57,Excellent,Excellent,Medium,None,7.52,7.55,4.61,GIA Lab-Grown,1810
Square Radiant,H,VS1,1.01,1.03,63.9,77,Excellent,Very Good,Thick to Very Thick,None,5.82,5.63,3.6,GIA,3670
Radiant,F,VS2,1,1.44,67.1,66,Excellent,Excellent,Slightly Thick,None,7.15,4.97,3.33,GIA,3570
Marquise,D,VS1,1.01,1.89,63.8,57,Excellent,Excellent,Slightly Thick to Very Thick,None,9.82,5.19,3.31,GIA,5950
Oval,E,VS1,1.06,1.49,63.1,61,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.44,5.66,3.57,IGI Lab-Grown,1030
Round,H,VS2,1,1.01,60.5,61,Excellent,Excellent,Medium to Slightly Thick,None,6.39,6.44,3.88,GIA,3790
Marquise,E,VVS2,1.09,2.04,62.3,60,Excellent,Excellent,Thin to Medium,Pointed,10.89,5.33,3.32,IGI Lab-Grown,1280
Round,H,VS1,1,1,61.2,62,Excellent,Excellent,Thick,None,6.34,6.37,3.89,GIA,4130
Cushion Modified,D,VS1,1.53,1.04,67.7,59,Excellent,Very Good,Slightly Thick to Very Thick,None,6.8,6.53,4.42,GIA Lab-Grown,1980
Heart,D,VS1,1.31,1.11,56.5,61,Excellent,Excellent,Medium to Slightly Thick,Pointed,6.89,7.66,4.33,IGI Lab-Grown,1520
Oval,E,VS1,1.09,1.5,62.1,61,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.58,5.73,3.56,IGI Lab-Grown,1060
Princess,F,VS2,1,1,73.9,74,Very Good,Very Good,Very Thick,None,5.34,5.33,3.94,GIA,3110
Princess,D,VS1,1.07,1.01,68.5,69,Excellent,Excellent,Thin to Medium,Pointed,5.65,5.58,3.82,IGI Lab-Grown,1150
Round,H,VS2,1,1.01,64,56,Excellent,Very Good,Slightly Thick to Thick,None,6.23,6.27,4,GIA,3210
Marquise,H,VVS2,1.2,2.16,64,60,Excellent,Very Good,Slightly Thick to Very Thick,None,11.42,5.29,3.39,GIA,6720
Radiant,D,VVS2,1.04,1.42,65.4,66,Excellent,Excellent,Slightly Thick,None,7.25,5.1,3.33,GIA Lab-Grown,1300
Round,D,VS1,1.58,1.01,62.1,58,Excellent,Excellent,Medium to Slightly Thick,None,7.4,7.46,4.61,GIA Lab-Grown,1850
Round,H,VS2,1.07,1.01,62.2,59,Excellent,Excellent,Slightly Thick,None,6.51,6.56,4.06,GIA,4000
Pear,H,VVS2,1.02,1.57,63.6,61,Excellent,Very Good,Slightly Thick to Thick,None,8.68,5.53,3.52,GIA,4890
Marquise,G,VS1,1.23,2.03,65.1,55,Very Good,Good,Medium to Extremely Thick,Very Small,10.92,5.37,3.5,GIA,8130
Princess,H,VS1,1.01,1,72.2,76,Excellent,Excellent,Thick,None,5.55,5.55,4,GIA,4120
Pear,E,VS1,1.05,1.62,61,61,Excellent,Excellent,Medium to Slightly Thick,Pointed,9.35,5.77,3.52,IGI Lab-Grown,1060
Round,E,VS1,1.57,1.01,61.9,57,Excellent,Excellent,Medium,Pointed,7.42,7.48,4.61,IGI Lab-Grown,1820
Cushion Modified,F,VS1,1,1.04,67.7,61,Excellent,Excellent,Slightly Thick to Very Thick,None,5.65,5.43,3.68,GIA,1820
Marquise,E,VS1,1.1,2.08,62.1,63,Excellent,Excellent,Medium to Slightly Thick,Pointed,11.12,5.35,3.32,IGI Lab-Grown,1100
Oval,H,VS1,1,1.32,66.3,65,Very Good,Very Good,Thick to Very Thick,None,7.38,5.57,3.69,GIA,3510
Oval,D,VS1,1.03,1.39,63.7,59,Excellent,Excellent,Medium to Thick,None,7.76,5.57,3.55,GIA,4700
Heart,E,VVS1,1,1.2,58.8,63,Excellent,Excellent,Medium to Thick,None,5.84,7.03,4.13,GIA,5660
Marquise,E,IF,1.01,1.99,60.8,58,Excellent,Very Good,Thick to Very Thick,None,10.34,5.2,3.16,GIA,7630
Pear,E,VS2,1,1.45,64.1,61,Excellent,Excellent,Thick to Very Thick,None,8.07,5.58,3.57,GIA,4090
Oval,G,VS2,1.01,1.38,66.5,56,Excellent,Very Good,Slightly Thick to Very Thick,None,7.6,5.52,3.67,GIA,3980
Radiant,G,VVS1,1.01,1.29,66.9,68,Excellent,Very Good,Thin to Slightly Thick,None,6.81,5.28,3.53,GIA,5350
Round,H,VS1,1,1.01,59,60,Excellent,Excellent,Medium to Slightly Thick,None,6.52,6.56,3.86,GIA,4150
Princess,E,VS1,1.02,1.07,76.2,76,Excellent,Very Good,Medium,None,5.69,5.34,4.07,GIA,3870
Oval,F,VS1,1.07,1.45,62.2,57,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.42,5.79,3.6,IGI Lab-Grown,1060
Princess,F,VS2,1.01,1.03,72.7,72,Excellent,Excellent,Thin to Medium,None,5.69,5.53,4.02,GIA,3350
Radiant,G,IF,1.03,1.26,69.6,64,Excellent,Excellent,Thick to Very Thick,None,6.31,5.01,3.48,GIA,4440
Heart,D,VVS2,1,1.11,59.9,63,Excellent,Excellent,Thick to Very Thick,None,6.22,6.91,4.14,GIA,5760
Oval,E,VS1,1.07,1.45,62.2,57,Excellent,Excellent,Medium,Pointed,8.36,5.77,3.59,IGI Lab-Grown,1040
Radiant,H,VS1,1.01,1.25,70.4,69,Excellent,Very Good,Thick to Very Thick,None,6.56,5.25,3.7,GIA,2590
Oval,D,VS1,1.01,1.46,64.7,62,Very Good,Good,Slightly Thick to Extremely Thick,None,7.83,5.35,3.46,GIA,4820
Princess,H,VS1,1.02,1,73.4,75,Excellent,Excellent,Thick to Very Thick,None,5.48,5.47,4.01,GIA,3390
Marquise,G,VS1,1,1.81,62.5,59,Excellent,Very Good,Medium to Very Thick,None,9.61,5.31,3.32,GIA,4800
Oval,E,VS1,1.08,1.43,61.7,60,Excellent,Excellent,Thin to Medium,Pointed,8.35,5.82,3.59,IGI Lab-Grown,1050
Round,H,VS2,1.01,1,62.7,58,Excellent,Excellent,Medium to Slightly Thick,None,6.36,6.39,4,GIA,4000
Round,H,VS2,1,1.01,64.1,57,Excellent,Excellent,Slightly Thick to Thick,None,6.22,6.26,4,GIA,3420
Round,H,VVS1,1,1,60.1,60,Excellent,Excellent,Medium to Slightly Thick,None,6.46,6.49,3.89,GIA,3620
Princess,D,VS1,1.04,1.01,71.2,67,Excellent,Excellent,Slightly Thick to Thick,None,5.66,5.6,3.99,GIA Lab-Grown,1120
Cushion Modified,D,VVS2,2.63,1.01,65.5,60,Excellent,Excellent,Medium to Thick,None,7.9,7.86,5.15,GIA Lab-Grown,5400
Marquise,H,VS2,1,1.85,63.5,63,Excellent,Very Good,Slightly Thick to Thick,None,9.82,5.3,3.37,GIA,4720
Radiant,H,VVS1,1.01,1.38,68.5,68,Excellent,Excellent,Slightly Thick,None,6.82,4.93,3.38,GIA,3320
Pear,F,VS2,1,1.57,60.3,58,Excellent,Excellent,Slightly Thick to Thick,None,8.73,5.56,3.35,GIA,4640
Oval,E,VVS2,1.01,1.42,58.4,61,Excellent,Excellent,Slightly Thick to Very Thick,None,8.13,5.72,3.34,GIA,4830
Heart,E,VS1,1.62,1.13,54.7,60,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.39,8.37,4.58,IGI Lab-Grown,2200
Cushion Modified,D,VVS1,2.76,1.02,68.2,62,Excellent,Excellent,Slightly Thick to Thick,None,8,7.81,5.32,GIA Lab-Grown,6530
Marquise,E,VVS2,1.2,2.2,57.9,60,Very Good,Very Good,Very Thin to Very Thick,None,12.32,5.6,3.24,GIA,8940
Marquise,H,IF,1.12,1.85,63,64,Excellent,Excellent,Slightly Thick to Thick,None,10.27,5.55,3.5,GIA,6670
Round,D,VS1,1.56,1.01,62.2,57,Excellent,Excellent,Medium,None,7.39,7.44,4.61,GIA Lab-Grown,1830
Emerald,G,VS2,1,1.57,72.4,67,Excellent,Very Good,Thick,None,6.93,4.42,3.2,GIA,2770
Emerald,H,VS1,1,1.3,71.9,66,Excellent,Very Good,Thick to Very Thick,None,6.17,4.76,3.42,GIA,2380
Oval,H,VVS1,1.01,1.4,63.1,62,Excellent,Excellent,Slightly Thick to Thick,None,7.8,5.56,3.51,GIA,4380
Heart,D,VVS2,1.59,1.12,56.6,59,Excellent,Excellent,Slightly Thick to Thick,Pointed,7.23,8.11,4.59,IGI Lab-Grown,2690
Radiant,D,VS1,1.01,1.46,64.9,62,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.28,4.98,3.23,IGI Lab-Grown,1080
Marquise,D,VS2,1,2.09,63.4,62,Excellent,Excellent,Medium to Thick,None,10.59,5.07,3.22,GIA,6240
Pear,E,VS1,1.09,1.55,61.8,59,Excellent,Excellent,Slightly Thick to Thick,None,9.04,5.82,3.59,GIA Lab-Grown,1100
Cushion Modified,G,VS2,1,1.05,67.7,61,Excellent,Excellent,Slightly Thick to Very Thick,None,5.71,5.44,3.68,GIA,1100
Oval,D,VS1,1.01,1.52,65.4,59,Excellent,Very Good,Slightly Thick to Very Thick,None,8.12,5.35,3.5,GIA,4820
Radiant,G,VS1,1,1.4,63.6,69,Excellent,Excellent,Medium to Slightly Thick,None,7.27,5.21,3.31,GIA,4110
Radiant,D,VS1,1,1.4,70,64,Excellent,Excellent,Slightly Thick,None,7.08,5.06,3.54,GIA Lab-Grown,1070
Marquise,D,VS1,1.01,2.01,61.8,58,Excellent,Excellent,Medium to Thick,Pointed,10.59,5.26,3.25,IGI Lab-Grown,1100
Pear,G,VS2,1.01,1.53,55.2,63,Good,Good,Medium to Extremely Thick,None,8.93,5.82,3.22,GIA,4220
Princess,G,VS2,1.01,1.01,67.5,70,Excellent,Very Good,Medium to Thick,None,5.66,5.61,3.79,GIA,3550
Princess,E,VVS2,1.03,1.01,71.7,70,Excellent,Excellent,Medium,Pointed,5.53,5.45,3.91,IGI Lab-Grown,1200
Round,E,VS1,1.54,1,61,59,Excellent,Excellent,Medium to Slightly Thick,None,7.41,7.43,4.53,GIA Lab-Grown,1760
Pear,H,VS1,1,1.5,60,62,Excellent,Excellent,Medium to Slightly Thick,None,8.72,5.82,3.5,GIA,3000
Princess,H,VVS1,1.01,1.04,75.7,71,Excellent,Excellent,Slightly Thick to Thick,None,5.51,5.3,4.01,GIA,3220
Princess,E,VVS2,1.1,1.01,72.9,68,Very Good,Very Good,Thick,None,5.66,5.59,4.07,GIA Lab-Grown,1140
Heart,E,VS1,3.15,1.13,60.1,62,Excellent,Excellent,Medium to Thick,None,8.94,10.11,6.07,GIA Lab-Grown,6730
Round,H,VS1,1,1,62.8,57,Excellent,Excellent,Thin to Slightly Thick,None,6.35,6.38,3.99,GIA,3820
Pear,E,VS1,1.09,1.64,59.6,58,Excellent,Excellent,Medium,Pointed,9.53,5.82,3.47,IGI Lab-Grown,1100
Emerald,H,VVS1,1,1.44,65.3,74,Excellent,Very Good,Medium to Slightly Thick,None,6.96,4.85,3.17,GIA,2880
Princess,E,VS1,1.12,1.01,72.9,66,Excellent,Excellent,Medium,Pointed,5.74,5.69,4.15,IGI Lab-Grown,1110
Princess,F,VS1,1.2,1.02,73,66,Excellent,Excellent,Medium to Slightly Thick,None,5.81,5.72,4.17,GIA Lab-Grown,1150
Marquise,E,VVS2,1.13,2.15,63.1,60,Excellent,Excellent,Medium to Slightly Thick,Pointed,11.4,5.31,3.35,IGI Lab-Grown,1310
Radiant,E,VS1,1.05,1.48,69.7,65,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.26,4.91,3.42,IGI Lab-Grown,1250
Princess,E,VS1,1.06,1,72.2,69,Excellent,Excellent,Slightly Thick,Pointed,5.59,5.58,4.03,IGI Lab-Grown,1050
Princess,E,VVS2,1.01,1.04,74,66,Excellent,Excellent,Medium,Pointed,5.54,5.35,3.96,IGI Lab-Grown,1180
Round,D,VS1,1.51,1,61.7,58,Excellent,Excellent,Medium to Slightly Thick,None,7.32,7.34,4.52,GIA Lab-Grown,1770
Pear,D,VS1,1.03,1.57,59.7,61,Excellent,Excellent,Slightly Thick to Thick,None,8.91,5.66,3.38,GIA Lab-Grown,1120
Heart,D,VS2,1,1.17,59.4,60,Excellent,Excellent,Thin to Very Thick,None,5.97,7,4.16,GIA,3850
Pear,D,VS1,1.01,1.64,62.5,54,Excellent,Excellent,Medium to Slightly Thick,Pointed,9.07,5.54,3.46,IGI Lab-Grown,1100
Princess,E,VS1,1.13,1.01,70.9,69,Excellent,Excellent,Medium,Pointed,5.7,5.64,4,IGI Lab-Grown,1120
Round,E,VS1,1.59,1,62.4,56,Excellent,Excellent,Medium,Pointed,7.44,7.46,4.65,IGI Lab-Grown,1850
Marquise,H,VS1,3.17,1.85,58.7,53,Very Good,Very Good,Medium to Thick,None,14.68,7.93,4.66,GIA,38710
Radiant,E,VVS2,1.07,1.47,67.8,64,Excellent,Excellent,Medium,Pointed,7.33,4.97,3.37,IGI Lab-Grown,1230
Marquise,D,VS1,1,1.84,64.2,56,Excellent,Excellent,Slightly Thick to Very Thick,None,9.72,5.27,3.38,GIA,6790
Heart,G,VS2,1.02,1.17,59.2,55,Excellent,Very Good,Medium to Thick,None,5.97,6.98,4.13,GIA,3650
Cushion,F,VVS2,2.53,1.06,67.9,64,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.22,7.78,5.28,IGI Lab-Grown,6970
Pear,E,VS1,1.01,1.52,61.5,58,Excellent,Excellent,Thin to Medium,Pointed,8.78,5.77,3.55,IGI Lab-Grown,1020
Oval,D,VVS1,1.03,1.55,60,59,Excellent,Very Good,Medium to Thick,None,8.72,5.62,3.37,GIA Lab-Grown,1690
Cushion Modified,F,VVS2,2.53,1.02,66.2,62,Excellent,Excellent,Slightly Thick to Thick,None,8.02,7.85,5.2,GIA Lab-Grown,5170
Cushion Modified,D,VVS2,1.46,1,67.3,63,Excellent,Excellent,Slightly Thick to Thick,None,6.56,6.55,4.41,GIA Lab-Grown,2270
Pear,H,VVS2,1.05,1.54,62.3,58,Very Good,Excellent,Slightly Thick to Very Thick,None,8.74,5.66,3.52,GIA,3350
Oval,G,VS1,1,1.38,66.6,65,Very Good,Excellent,Thick to Very Thick,None,7.48,5.43,3.62,GIA,4550
Heart,D,VS1,2.17,1.05,60.7,62,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.23,8.63,5.24,IGI Lab-Grown,3810
Radiant,D,VS1,1.02,1.38,68.8,66,Excellent,Excellent,Thin to Medium,Pointed,7.13,5.16,3.55,IGI Lab-Grown,1090
Oval,E,VS1,1.08,1.47,61.8,62,Excellent,Excellent,Thin to Slightly Thick,Pointed,8.49,5.76,3.56,IGI Lab-Grown,1050
Heart,D,VVS2,1.59,1.14,54,63,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.36,8.4,4.54,IGI Lab-Grown,2690
Round,G,VS2,1,1.01,63.4,57,Excellent,Very Good,Slightly Thick,None,6.31,6.36,4.02,GIA,4050
Radiant,E,VS1,1.25,1.4,67.8,65,Excellent,Excellent,Medium,Pointed,7.49,5.34,3.62,IGI Lab-Grown,1210
Marquise,D,VS2,2.01,2.07,62.3,61,Excellent,Very Good,Thin to Extremely Thick,None,12.62,6.11,3.81,GIA,29980
Round,H,VS1,1,1.01,63.3,55,Excellent,Very Good,Medium to Slightly Thick,None,6.29,6.36,4,GIA,3610
Round,D,VS1,1.57,1,60.4,60,Excellent,Excellent,Medium,Pointed,7.51,7.54,4.54,IGI Lab-Grown,1840
Marquise,F,IF,1.3,1.9,64.3,58,Excellent,Very Good,Slightly Thick to Thick,None,10.67,5.63,3.62,GIA,1840
Oval,D,VS1,1.04,1.43,61.9,58,Excellent,Very Good,Medium to Slightly Thick,None,8.18,5.74,3.55,GIA Lab-Grown,1050
Radiant,F,VS2,1.01,1.32,68.6,68,Excellent,Excellent,Thick,None,6.59,5,3.43,GIA,3640
Marquise,D,VVS2,1.13,1.88,65.1,58,Excellent,Very Good,Thick to Very Thick,None,10.26,5.45,3.55,GIA Lab-Grown,1380
Oval,D,VS2,1.03,1.55,60.2,62,Excellent,Very Good,Slightly Thick to Very Thick,None,8.53,5.51,3.31,GIA,3930
Marquise,E,VS1,1,1.82,64.5,64,Excellent,Excellent,Slightly Thick to Thick,None,9.59,5.27,3.4,GIA,4960
Princess,H,VVS2,1,1.01,72.5,70,Excellent,Excellent,Slightly Thick to Thick,None,5.44,5.4,3.92,GIA,3150
Oval,F,VS2,1,1.43,65.3,57,Excellent,Very Good,Thick to Very Thick,None,7.78,5.44,3.55,GIA,4650
Cushion,D,VS1,2.58,1,66.3,61,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.92,7.89,5.23,IGI Lab-Grown,4550
Radiant,H,VVS2,1.01,1.36,69.3,70,Excellent,Excellent,Slightly Thick to Thick,None,6.83,5.03,3.49,GIA,2800
Cushion Modified,E,VS1,1.53,1.02,66.5,62,Excellent,Excellent,Medium to Slightly Thick,None,6.74,6.62,4.41,GIA Lab-Grown,4870
Princess,D,VS1,1.09,1.01,71.8,71,Excellent,Excellent,Thin to Medium,Pointed,5.6,5.53,3.97,IGI Lab-Grown,1170
Round,H,VS1,1,1.01,62.2,62,Excellent,Excellent,Thick,None,6.3,6.34,3.93,GIA,4150
Oval,D,VS1,1.02,1.39,61.2,58,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.97,5.75,3.52,IGI Lab-Grown,1080
